,user_name,ski_resort,rating
703,Randy Whitson,Angel Fire,5
704,Randy Whitson,Red River,4
705,hparks,Snowy Range,3
706,WilleA,Loon Mountain,4
707,cpt0bvi0u5,Snow Valley,4
708,jay_bone_22,Angel Fire,5
709,MCPG,Ski China Peak,4
710,ndboarder,Buck Hill,4
711,Shane Wicken,Okemo Mountain,5
712,cpt0bvi0u5,Mountain High,3
713,ndboarder,Andes Tower Hills,4
714,smk1945,Keystone,5
715,winstonwolf,Big Powderhorn Mountain,4
716,Yoonseok Song,Granite Peak,4
717,Yoonseok Song,Cascade Mountain,5
718,Yoonseok Song,Devils Head,4
719,ndboarder,Andes Tower Hills,4
720,Yoonseok Song,Keystone,4
721,Yoonseok Song,Alpine Valley Wisconsin,3
722,Yoonseok Song,Wilmot Mountain,3
723,Barbra Pasker,Snowbird,5
724,Barbra Pasker,Solitude Mountain,4
725,Barbra Pasker,Park City Mountain,4
726,Jay C,Attitash,5
727,mjnecaise,Telluride,5
728,mjnecaise,Big Sky,4
729,perrmj02,Plattekill Mountain,5
730,skinomad,Keystone,5
731,haineroid,Anthony Lakes Mountain,4
732,p_nut,Snowbird,5
733,skinomad,Heavenly Mountain,5
734,Gunny J,Plattekill Mountain,5
735,MCPG,Ober Gatlinburg Ski,2
736,ndboarder,Andes Tower Hills,4
737,Catherine D,Alpental,3
738,Catherine D,Arapahoe Basin,5
739,Catherine D,Vail,4
740,Philip H. Eckerberg,Hogadon,3
741,Richard B,Snowbird,5
742,Richard B,Brighton,4
743,hparks,Spirit Mountain,4
744,J Berlo,Waterville Valley,4
745,joe castelli,Breckenridge,5
746,joe castelli,Sugar Mountain,4
747,kooter,Ski Snowstar,5
748,Terry,Snowy Range,4
749,resa 1,Big Boulder,3
750,vedhed,Kirkwood,4
751,vedhed,Sierra at Tahoe,4
752,fcherichel,Mountain Creek,3
753,gwiffie,Mt. Rose Ski Tahoe,4
