ski_resort,address,city,state,country,summit,drop,base,gondolas_and_trams,fast_eight,high_speed_sixes,quad_chairs,triple_chairs,double_chairs,surface_lifts,total_runs,longest_run,skiable_terrain,snow_making,terrain_note,daysOpenLastYear,averageSnowfall,projectedOpening,projectedClosing,nov_snow,dec_snow,jan_snow,feb_snow,mar_snow,apr_snow,may_snow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,beginner_runs,intermediate_runs,advanced_runs,expert_runs,ticket_price_note
Ski Ward,1000 Main St,01545 Shrewsbury,Massachusetts,United States,420,210,210,,,,,1,,3,9,0.2 mi,45 ac,45 ac,,105,"80""",25-Dec-23,3-Apr-24,"0""","2""","10""","14""","2""",,,150,525,190,10,35,10,55,,,,,https://www.onthesnow.com/massachusetts/ski-ward/ski-resort.html,,33%,33%,,33%,
Sleeping Giant,348 Yellowstone Highway,82414 Cody,Wyoming,United States,7428,810,6619,,,,,1,1,1,49,1 mi,184 ac,18 ac,,61,"310""",1-Dec-23,10-Mar-24,"0.3""","17""","17""","25""","8""","0""",,250,400,580,100,20,30,42,-,16,30,42,https://www.onthesnow.com/wyoming/sleeping-giant-ski-resort/ski-resort.html,,15%,38%,35%,13%,
Smugglers' Notch,4323 Vermont Route 108 South,05464 Smugglers Notch,Vermont,United States,3640,2610,1030,,,,,,6,2,78,3 mi,1000 ac,192 ac,,136,"280""",8-Dec-23,7-Apr-24,"10""","48""","54""","67""","54""","9""","0""",0,63,84,63,0,63,84,63,0,48,64,https://www.onthesnow.com/vermont/smugglers-notch-resort/ski-resort.html,,17%,53%,26%,5%,
Snow Creek,P.O. Box 567,64098 Weston,Missouri,United States,1100,300,800,,,,,2,1,3,12,0.3 mi,30 ac,30 ac,Check terrain information.,69,"20""",23-Dec-23,3-Mar-24,"0""","5""","8""","6""","1""",,,439,859,859,10,29,37,10,10,29,47,10,https://www.onthesnow.com/missouri/snow-creek/ski-resort.html,,33%,58%,8%,,
Snow King,PO Box SKI,83001 Jackson,Wyoming,United States,7808,1571,6237,1,,,1,1,1,4,41,1 mi,500 ac,250 ac,,121,"300""",2-Dec-23,7-Apr-24,"2""","30""","28""","28""","17""","0""",,449,599,699,599,49,59,49,49,59,49,39,https://www.onthesnow.com/wyoming/snow-king-resort/ski-resort.html,,18%,24%,41%,18%,
Snow Ridge,PO Box 100 Route 26,13473 Turin,New York,United States,2000,650,1350,,,,,,3,2,31,0.8 mi,130 ac,65 ac,Check terrain information.,73,"230""",24-Dec-23,8-Apr-24,"0.1""","16""","45""","38""","16""","0.4""","0""",0,500,350,10,33,38,20,15,38,48,28,https://www.onthesnow.com/new-york/snow-ridge/ski-resort.html,,8%,33%,58%,,
Snow Snake,3407 E. Mannsiding Road,48625 Harrison,Michigan,United States,1230,210,1020,,,,,1,,5,12,0 mi,40 ac,40 ac,Check terrain information.,N.A.,"0""",26-Dec-23,17-Mar-24,"0.1""","3""","8""","9""","2""","0""",,10,230,10,30,35,,,,,,,https://www.onthesnow.com/michigan/snow-snake-mountain-ski-area/ski-resort.html,,,,,,
Snow Summit,P.O. Box 77,92315 Big Bear Lake,California,United States,8200,1200,7000,,,,2,4,4,,30,1.2 mi,240 ac,240 ac,,N.A.,"100""",11-Nov-23,28-Apr-24,"5""","21""","31""","26""","23""","0""",,319,549,639,,,,,,,,,https://www.onthesnow.com/california/snow-summit/ski-resort.html,Check gondola information.,23%,47%,20%,10%,
Snow Trails,P.O. Box 1456,44901 Mansfield,Ohio,United States,1475,301,1174,,,,,4,2,3,19,0.2 mi,40 ac,40 ac,Check terrain information.,87,"50""",17-Dec-23,10-Mar-24,"0""","4""","12""","10""","3""",,,0,350,495,210,31,41,42,52,,,,https://www.onthesnow.com/ohio/snow-trails/ski-resort.html,,16%,47%,37%,,
Snow Valley,P.O. Box 2337,92382 Running Springs,California,United States,7841,1041,6800,,,,,5,6,1,32,1.2 mi,240 ac,188 ac,,111,"160""",25-Dec-22,16-Apr-23,"4""","18""","17""","23""","24""","2""","0""",199,299,359,299,29,59,69,59,35,69,79,https://www.onthesnow.com/california/snow-valley/ski-resort.html,,13%,41%,34%,13%,
Snowbasin,P.O. Box 460,84317 Huntsville,Utah,United States,9350,2900,6450,3,2,1,,3,,3,118,3.5 mi,3000 ac,625 ac,,143,"300""",17-Nov-23,21-Apr-24,"14""","68""","67""","68""","57""","16""","0""",449,699,"1,149.00",799,0,89,149,99,0,109,169,https://www.onthesnow.com/utah/snowbasin/ski-resort.html,,9%,33%,52%,6%,
Snowbird,P.O. Box 929000,84092-9000 Snowbird,Utah,United States,11000,3240,7760,1,7,,,,4,2,140,2.5 mi,2500 ac,,,184,"500""",18-Nov-22,29-May-23,"23""","88""","95""","83""","77""","63""","13""",379,569,"1,299.00",959,0,110,184,156,-,94,156,https://www.onthesnow.com/utah/snowbird/ski-resort.html,,8%,25%,43%,24%,
Snowshoe Mountain,P.O. Box 10,26209 Snowshoe,West Virginia,United States,4848,1500,3348,,3,,,6,,3,61,1.5 mi,257 ac,257 ac,,125,"180""",24-Nov-23,2-Apr-24,"4""","18""","33""","29""","25""","0.2""","0""",329,499,549,479,,,,,,,,https://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort.html,,40%,33%,25%,2%,
Snowy Range Ski Recreation Area,Po Box 247,82055 Centennial,Wyoming,United States,9663,990,8798,,,,,1,3,1,33,0.7 mi,75 ac,30 ac,Check terrain information.,131,"250""",2-Dec-23,7-Apr-24,"1""","43""","37""","35""","30""","5""","0""",209,269,329,0,30,42,49,0,30,42,49,https://www.onthesnow.com/wyoming/snowy-range-ski-recreation-area/ski-resort.html,,,,,,
Soda Springs,P.O. Box 39,96160 Truckee,California,United States,7352,652,6700,,,,,1,1,4,19,0.4 mi,200 ac,20 ac,Check terrain information.,150,"400""",24-Nov-23,21-Apr-24,"3""","67""","53""","34""","47""","13""","0""",109,149,229,59,40,45,50,40,45,50,,https://www.onthesnow.com/california/soda-springs/ski-resort.html,,53%,16%,32%,,
Soldier Mountain,P.O. Box 510,83327 Fairfield,Idaho,United States,7200,1400,5800,,,,,,2,1,36,0.4 mi,1142 ac,,Check terrain information.,60,"0""",17-Dec-23,25-Mar-24,"1""","21""","29""","26""","7""","0""",,0,299,499,199,27,47,17,27,47,17,20,https://www.onthesnow.com/idaho/soldier-mountain-ski-area/ski-resort.html,,,,,,
Solitude Mountain,12000 Big Cottonwood Canyon,84121 Brighton,Utah,United States,10488,2494,7994,,4,,2,1,,1,87,3 mi,1200 ac,150 ac,,161,"500""",10-Nov-22,21-May-23,"21""","76""","85""","84""","78""","26""","0.1""",389,879,"1,179.00",45,69,115,85,45,69,115,85,https://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort.html,,6%,46%,30%,18%,
Song Mountain,PO Box 149,13159 Tully,New York,United States,1940,700,1240,,,,,1,1,3,24,0.4 mi,93 ac,70 ac,Check terrain information.,90,"125""",16-Dec-23,7-Apr-24,"0""","6""","21""","29""","17""","0.5""",,529,299,15,49,59,54,15,49,59,54,-,https://www.onthesnow.com/new-york/song-mountain/ski-resort.html,,,,,,
Spirit Mountain,9500 Spirit Mountain Place,55810 Duluth,Minnesota,United States,1320,700,620,,1,,1,2,1,2,22,1 mi,175 ac,175 ac,Check terrain information.,100,"100""",26-Nov-23,7-Apr-24,"0.8""","17""","12""","23""","8""","2""","0""",80,345,497,345,5,45,59,49,5,45,59,https://www.onthesnow.com/minnesota/spirit-mountain/ski-resort.html,,32%,41%,27%,,
Spout Springs,79327 Highway 204,97813 Weston,Oregon,United States,5500,610,4850,,,,,,2,2,14,0.1 mi,200 ac,,Check terrain information.,117,"118""",31-Mar-24,31-Mar-25,"0""","0.3""","4""","2""",,,,,,,,,,,,,,,https://www.onthesnow.com/oregon/spout-springs/ski-resort.html,,,,,,Check ticket prices.
Spring Mountain,P.O. Box 276,19478 Spring Mount,Pennsylvania,United States,528,450,78,,,,,1,3,2,9,0.2 mi,45 ac,45 ac,Check terrain information.,100,"20""",10-Dec-23,10-Mar-24,"0""","0.2""","3""","6""","1""",,,25,365,430,365,,,,,,,,https://www.onthesnow.com/pennsylvania/spring-mountain-ski-area/ski-resort.html,,,,,,
Steamboat,2305 Mt. Werner Circle,80487 Steamboat Springs,Colorado,United States,10568,3668,6900,2,6,1,1,4,2,5,171,3 mi,2965 ac,333 ac,,144,"336""",22-Nov-23,14-Apr-24,"15""","80""","69""","61""","46""","15""","0""",389,879,1,133,177,167,144,192,182,106.4,141.6,https://www.onthesnow.com/colorado/steamboat/ski-resort.html,,12%,43%,40%,5%,
Stevens Pass,P.O. Box 98,98288 Skykomish,Washington,United States,5845,1800,4061,,4,,1,3,2,2,57,1 mi,1125 ac,,,116,"460""",2-Dec-22,16-Apr-23,"17""","94""","77""","85""","48""","21""","0""",439,859,,,,,,,,,,https://www.onthesnow.com/washington/stevens-pass-resort/ski-resort.html,,8%,43%,31%,18%,
Stowe Mountain,5781 Mountain Rd.,05672-4890 Stowe,Vermont,United States,4395,2360,2035,2,,,4,2,2,2,116,3.7 mi,485 ac,388 ac,,155,"314""",18-Nov-23,14-Apr-24,"14""","43""","50""","54""","49""","13""","0""",439,859,,,,,,,,,,https://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort.html,,16%,55%,15%,15%,
Stratton Mountain,RR #1 Box 145,05155 Stratton Mountain,Vermont,United States,3875,2003,1872,1,1,4,2,1,1,1,99,3 mi,670 ac,474 ac,Check terrain information.,155,"180""",25-Nov-22,16-Apr-23,"3""","30""","25""","37""","22""","1""","0""",389,879,"1,179.00",0,100,125,100,0,100,125,100,https://www.onthesnow.com/vermont/stratton-mountain/ski-resort.html,,,,,,
Sugar Bowl,P.O. Box 5,95724 Norden,California,United States,8383,1500,6883,1,5,,3,1,,2,105,3 mi,1650 ac,375 ac,,151,"500""",24-Nov-23,28-Apr-24,"17""","75""","70""","69""","77""","17""","0.6""",669,889,"1,119.00",889,73,103,125,103,73,103,125,https://www.onthesnow.com/california/sugar-bowl-resort/ski-resort.html,,15%,45%,28%,12%,
Sugar Mountain,P.O. Box 369,28604 Banner Elk,North Carolina,United States,5300,1200,4100,,1,1,,1,3,2,21,1.5 mi,125 ac,125 ac,,127,"77""",18-Nov-23,30-Mar-24,"3""","8""","17""","14""","6""","0""",,860,0,40,50,0,0,59,84,0,,,https://www.onthesnow.com/north-carolina/sugar-mountain-resort/ski-resort.html,,38%,48%,10%,5%,
Sugarbush,1840 Sugarbush Access Road,05674 Warren,Vermont,United States,4083,2600,1483,,5,,5,2,1,3,111,3 mi,581 ac,406 ac,,150,"250""",22-Nov-23,5-May-24,"14""","51""","44""","44""","42""","14""","0""",389,879,"1,179.00",,,,,,,,,https://www.onthesnow.com/vermont/sugarbush/ski-resort.html,,23%,42%,27%,7%,
Sugarloaf,5092 Access Road,04947 Carrabassett Valley,Maine,United States,4237,2820,1417,,2,,3,1,5,2,162,3.5 mi,1240 ac,618 ac,,159,"200""",18-Nov-22,30-Apr-23,"11""","33""","28""","37""","24""","11""","0""",30,829,"1,329.00",989,,,,,,,,https://www.onthesnow.com/maine/sugarloaf/ski-resort.html,,22%,32%,26%,20%,
The Summit at Snoqualmie,P.O. Box 1068,98068 Snoqualmie Pass,Washington,United States,3865,1025,2840,,2,,4,3,6,5,65,0.8 mi,1994 ac,5 ac,Check terrain information.,120,"428""",1-Dec-23,28-Apr-24,"7""","71""","61""","62""","34""","14""","0""",419,519,699,449,15,51,85,51,15,62,95,https://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort.html,,15%,40%,45%,,
Sun Valley,P.O. Box 10,83353 Sun Valley,Idaho,United States,9150,3400,5750,1,10,,,3,1,2,120,3.6 mi,2457 ac,645 ac,Check terrain information.,149,"220""",23-Nov-23,14-Apr-24,"8""","56""","35""","40""","30""","10""","0""",799,"1,459.00","2,499.00",114,214,138,114,214,138,102,191,https://www.onthesnow.com/idaho/sun-valley/ski-resort.html,,,,,,
Sunburst,8355 Prospect Drive,53040-9478 Kewaskum,Wisconsin,United States,1100,214,866,,,,,,3,7,11,0.5 mi,37 ac,37 ac,,99,"50""",2-Dec-23,17-Mar-24,"0""","4""","3""","4""","0.6""",,,249,25,33,25,27,44,25,25,33,25,,https://www.onthesnow.com/wisconsin/sunburst/ski-resort.html,,18%,55%,18%,9%,
Sundance,"RR #3, Box A-1",84604 Sundance,Utah,United States,8250,2150,6100,,1,,4,1,,3,72,0.6 mi,540 ac,125 ac,,128,"320""",2-Dec-23,7-Apr-24,"13""","46""","62""","39""","32""","0.7""","0""",399,499,849,350,79,119,55,89,129,65,79,https://www.onthesnow.com/utah/sundance/ski-resort.html,,21%,32%,43%,4%,
Sunday River,PO Box 4500,04217 Newry,Maine,United States,3140,2340,800,1,4,,5,3,2,4,135,3 mi,878 ac,552 ac,,165,"167""",17-Nov-22,23-Apr-23,"8""","27""","24""","35""","20""","5""","0""",30,829,"1,329.00",989,,,,,,,,https://www.onthesnow.com/maine/sunday-river/ski-resort.html,,30%,36%,18%,16%,
Sundown Mountain,16991 Asbury Road,52002 Dubuque,Iowa,United States,1059,475,584,,,,1,1,2,2,21,0.6 mi,55 ac,55 ac,Check terrain information.,N.A.,"45""",12-Dec-23,19-Mar-24,"0""","6""","6""","8""","2""",,,360,0,30,38,0,36,46,,,,,https://www.onthesnow.com/iowa/sundown-mountain/ski-resort.html,,,,,,
Sunlight Mountain,10901 County Road 117,81601 Glenwood Springs,Colorado,United States,9895,2010,7885,,,,,1,2,,74,2.5 mi,730 ac,30 ac,,100,"250""",24-Nov-23,2-Apr-24,"4""","36""","38""","33""","34""","2""","0""",319,419,559,419,0,45,65,45,0,45,65,https://www.onthesnow.com/colorado/sunlight-mountain-resort/ski-resort.html,Check gondola information.,15%,30%,18%,38%,
Sunrise Park,P.O. Box 117,85927 Greer,Az,United States,11100,1800,9200,,1,,2,2,1,2,65,1.2 mi,1200 ac,80 ac,,105,"250""",2-Dec-23,1-Apr-24,"5""","28""","38""","32""","12""","0""",,349,429,649,369,45,54,70,54,54,63,79,https://www.onthesnow.com/arizona/sunrise-park-resort/ski-resort.html,,46%,28%,22%,5%,
Swain,P.O. Box 44,14884 Swain,New York,United States,1970,650,1320,,,,3,,1,1,35,1 mi,130 ac,90 ac,Check terrain information.,102,"120""",23-Dec-23,26-Mar-24,"0.1""","11""","20""","22""","12""","0""",,10,650,750,650,0,43,55,43,0,62,72,https://www.onthesnow.com/new-york/swain/ski-resort.html,,31%,37%,31%,,
Swiss Valley,Route #1,49061 Jones,Michigan,United States,1200,225,975,,,,2,1,,4,11,0.1 mi,60 ac,60 ac,Check terrain information.,54,"60""",26-Dec-23,13-Mar-24,"0""","5""","17""","20""","3""",,,26,32,30,42,,,,,,,,https://www.onthesnow.com/michigan/swiss-valley/ski-resort.html,,36%,36%,27%,,
Tahoe Donner,11509 Northwoods Blvd.,96161 Truckee,California,United States,7350,600,6750,,,,1,1,,3,17,1 mi,120 ac,20 ac,Check terrain information.,150,"350""",8-Dec-23,14-Apr-24,"4""","38""","58""","57""","58""","3""","0""",44,64,74,44,44,64,74,44,-,0,0,https://www.onthesnow.com/california/tahoe-donner/ski-resort.html,,40%,50%,10%,,
Tamarack,PMB 3003,83615 Tamarack,Idaho,United States,7700,2800,4900,,2,,2,,,2,48,1.5 mi,1100 ac,200 ac,Check terrain information.,N.A.,"300""",9-Dec-23,9-Apr-24,"10""","60""","50""","54""","41""","1""","0""",332,265,599,332,32,46,71,46,32,46,71,https://www.onthesnow.com/idaho/tamarack-resort/ski-resort.html,,21%,35%,44%,,
Taos Ski Valley,P.O. Box 90,87525 Taos Ski Valley,New Mexico,United States,12481,3281,9200,1,1,,3,4,1,3,110,5 mi,1294 ac,647 ac,,137,"300""",24-Nov-23,7-Apr-24,"16""","38""","34""","45""","41""","6""","0""",695,"1,045.00","1,450.00","1,305.00",150,150,195,165,150,150,195,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort.html,,14%,16%,30%,40%,
Telluride,565 Mountain Village Blvd.,81435 Telluride,Colorado,United States,13150,4425,8725,2,6,,1,2,2,4,147,4.6 mi,2000 ac,220 ac,,136,"280""",23-Nov-23,7-Apr-24,"16""","49""","47""","52""","49""","4""","0""",735,"1,100.00","2,600.00","1,955.00",106,209,160,119,219,179,636,https://www.onthesnow.com/colorado/telluride/ski-resort.html,,16%,30%,21%,34%,
Terry Peak,P.O. Box 774,57754 Lead,South Dakota,United States,7100,1100,5900,,3,,,1,,1,30,1.2 mi,450 ac,225 ac,Check terrain information.,114,"150""",2-Dec-23,7-Apr-24,"3""","26""","23""","29""","19""","0.5""","0""",10.6,445.2,742,10.6,0,45,60,0,0,45,60,https://www.onthesnow.com/south-dakota/terry-peak-ski-area/ski-resort.html,,,,,,
Teton Pass,PO Box 1354,59422 Choteau,Montana,United States,7200,1010,6190,,,,,,1,2,43,3 mi,330 ac,,Check terrain information.,40,"250""",16-Dec-22,15-Apr-23,"0""","12""","20""","25""","11""","0.5""",,0,450,600,500,0,33,39,36,0,33,39,https://www.onthesnow.com/montana/teton-pass-ski-area/ski-resort.html,,,,,,
Boyne Highlands,600 Highlands Drive,49740 Harbor Springs,Michigan,United States,1290,552,745,,1,,3,4,,2,53,1.2 mi,435 ac,400 ac,,97,"140""",24-Nov-23,24-Mar-24,"4""","32""","45""","31""","10""","0.5""","0""",,,,,,,,,,,,https://www.onthesnow.com/michigan/boyne-highlands/ski-resort.html,,36%,31%,31%,2%,Check ticket prices.
The Homestead,1 Wood Ridge Road,49636 Glen Arbor,Michigan,United States,900,320,580,,,,,2,1,2,15,0.2 mi,16 ac,16 ac,Check terrain information.,47,"150""",26-Dec-23,17-Mar-24,"0""","3""","14""","10""","1""",,,29,249,299,249,29,42,50,42,29,42,50,https://www.onthesnow.com/michigan/the-homestead/ski-resort.html,,27%,47%,27%,,
Thunder Ridge,"Rt. #22, PO Box 627",12563 Patterson,New York,United States,1270,500,770,,,,,1,2,3,30,0.4 mi,100 ac,100 ac,Check terrain information.,121,"0""",17-Dec-23,1-Apr-24,"0""","2""","12""","15""","9""",,,179,369,499,369,20,42,57,42,,,,https://www.onthesnow.com/new-york/thunder-ridge/ski-resort.html,,,,,,
Timber Ridge,07500 23 1/2 Street,49055 Gobles,Michigan,United States,850,250,600,,,,1,1,2,6,20,0.3 mi,50 ac,50 ac,,80,"0""",20-Dec-23,17-Mar-24,"0""","4""","15""","13""","3""",,,399,29,35,34,45,,,,,,,https://www.onthesnow.com/michigan/timber-ridge/ski-resort.html,,53%,26%,16%,5%,
