ski_resort,address,city,state,country,summit,drop,base,gondolas_and_trams,fast_eight,high_speed_sixes,quad_chairs,triple_chairs,double_chairs,surface_lifts,total_runs,longest_run,skiable_terrain,snow_making,terrain_note,daysOpenLastYear,averageSnowfall,projectedOpening,projectedClosing,nov_snow,dec_snow,jan_snow,feb_snow,mar_snow,apr_snow,may_snow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,beginner_runs,intermediate_runs,advanced_runs,expert_runs,ticket_price_note
Appalachian Ski Mountain,PO Box 106,28605 Blowing Rock,North Carolina,United States,4000,365,3635,,,,2,,1,3,9,0.5 mi,27 ac,27 ac,Check terrain information.,100,"50""",24-Nov-23,17-Mar-24,"5""","13""","5""","5""","3""","0""",,10,450,575,450,0,32,41,32,0,46,66,https://www.onthesnow.com/north-carolina/appalachian-ski-mtn/ski-resort.html,,33%,33%,33%,,
Apple Mountain,4519 N. River Road,48623 Freeland,Michigan,United States,820,220,600,,,,1,,,5,12,,80 ac,42 ac,Check terrain information.,N.A.,"52""",13-Dec-25,14-Mar-26,"0""","0.5""","2""","5""","2""",,,0,35,35,35,0,35,35,35,0,25,25,https://www.onthesnow.com/michigan/apple-mountain/ski-resort.html,,,,,,
Arapahoe Basin,PO Box 5808,80435 Dillon,Colorado,United States,13050,2530,10780,,1,,3,1,1,3,145,1.5 mi,1428 ac,125 ac,,234,"350""",23-Oct-22,4-Jun-23,"33""","43""","43""","42""","45""","39""","32""",169,459,619,379,59,79,89,99,69,99,109,https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort.html,,7%,20%,49%,24%,
Arizona Snowbowl,P.O. Box 40,86002 Flagstaff,Arizona,United States,11500,2300,9200,,,1,2,2,1,2,55,2 mi,777 ac,104 ac,,122,"260""",18-Nov-22,29-May-23,"11""","34""","58""","49""","44""","4""","1""",599,699,999,749,0,0,,,,,,https://www.onthesnow.com/arizona/arizona-snowbowl/ski-resort.html,,22%,44%,22%,13%,
Aspen Snowmass,P.O. Box 1248,81612 Aspen,Colorado,United States,12510,4406,8104,3,15,1,4,3,5,9,336,5.3 mi,5517 ac,658 ac,Check terrain information.,150,"300""",23-Nov-23,21-Apr-24,"24""","66""","56""","59""","69""","33""","0.3""",899,"2,899.00","2,149.00",131,131,189,131,141,141,199,141,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort.html,,,,,,
Attitash,PO Box 308,03812 Bartlett,New Hampshire,United States,2350,1750,600,,2,,1,3,,2,68,3 mi,311 ac,240 ac,Check terrain information.,115,"120""",2-Dec-23,7-Apr-24,"1""","19""","21""","30""","17""","2""","0""",335,519,639,59,79,59,67,89,67,,,https://www.onthesnow.com/new-hampshire/attitash/ski-resort.html,,26%,46%,28%,,
Bear Creek Mountain,101 Doe Mountain Lane,18062 Macungie,Pennsylvania,United States,1100,510,600,,,,3,1,,2,20,1 mi,86 ac,86 ac,Check terrain information.,91,"30""",24-Dec-23,19-Mar-24,"0.9""","1""","7""","8""","4""","0""",,25,419,25,43,50,43,49,60,49,,,https://www.onthesnow.com/pennsylvania/bear-creek-mountain-resort/ski-resort.html,,45%,27%,27%,,
Bear Mountain,P.O. Box 77,92315 Big Bear Lake,California,United States,8805,1665,7140,,2,,1,2,3,,27,1.5 mi,198 ac,198 ac,,N.A.,"0""",12-Nov-22,23-Apr-23,"5""","16""","29""","28""","23""","0""",,319,549,639,,,,,,,,,https://www.onthesnow.com/california/bear-mountain/ski-resort.html,Check gondola information.,23%,46%,23%,8%,
Bear Valley,P.O. Box 5038,95223 Bear Valley,California,United States,8500,1900,6600,,1,1,,2,4,2,56,1.2 mi,1680 ac,100 ac,,165,"359""",16-Dec-23,14-Apr-24,"12""","65""","71""","55""","70""","16""","0""",399,539,649,399,,,,,,,,https://www.onthesnow.com/california/bear-valley/ski-resort.html,,11%,41%,45%,4%,
Beaver Creek,PO Box 7,81658 Vail,Colorado,United States,11440,3340,8100,2,11,,,1,1,9,150,2.8 mi,1832 ac,650 ac,,144,"323""",22-Nov-23,14-Apr-24,"22""","52""","49""","46""","52""","16""","0""",448,879,132,191,215,170,275,237,,,,https://www.onthesnow.com/colorado/beaver-creek/ski-resort.html,,38%,30%,24%,8%,
Beaver Mountain,P.O. Box 3455,84323-3455 Logan,Utah,United States,8860,1600,7232,,,,,3,1,2,48,1.7 mi,880 ac,,Check terrain information.,120,"200""",6-Dec-23,7-Apr-24,"0.1""","28""","56""","49""","47""","4""","0""",355,590,100,40,50,40,40,50,40,35,40,https://www.onthesnow.com/utah/beaver-mountain/ski-resort.html,,,,,,
Ski Beech Mountain,PO Box 1118,28604 Banner  Elk,North Carolina,United States,5506,830,4675,,,,3,,3,2,17,1 mi,95 ac,95 ac,Check terrain information.,98,"31""",3-Dec-23,18-Mar-24,"0.5""","6""","18""","12""","4""","0""",,5,470,575,470,0,31,41,31,0,48,68,https://www.onthesnow.com/north-carolina/ski-beech-mountain-resort/ski-resort.html,,,,,,
Belleayre,P.O. Box 313,12441-0313 Highmount,New York,United States,3429,1404,2025,1,1,,2,1,,3,63,2.2 mi,175 ac,168 ac,,154,"130""",17-Nov-23,16-Apr-24,"2""","21""","22""","28""","25""","3""","0""",,,,,,,,,,,,https://www.onthesnow.com/new-york/belleayre/ski-resort.html,,17%,44%,24%,14%,Check ticket prices.
Berkshire East,P.O. Box 727,01339 Charlemont,Massachusetts,United States,1720,1180,540,,,,2,1,1,2,100,2 mi,180 ac,165 ac,,120,"120""",22-Dec-23,2-Apr-24,"0.1""","9""","17""","26""","16""","0.7""","0""",0,589,699,589,48,48,35,48,68,48,,https://www.onthesnow.com/massachusetts/berkshire-east/ski-resort.html,,30%,35%,30%,5%,
Big Bear,HC1 BOX 1A 353,18435 Lackawaxen,Pennsylvania,United States,1250,650,600,,,,,,4,3,18,1 mi,26 ac,26 ac,,75,"55""",17-Dec-23,26-Mar-24,"0.1""","4""","10""","7""","4""","0""",,395,40,50,40,47,62,47,79,104,79,217,https://www.onthesnow.com/pennsylvania/big-bear/ski-resort.html,,33%,28%,33%,6%,
